step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time
646,9,0.0,0.0941,,
647,9,0.0,0.0676,,
648,9,0.0,0.0568,,
649,7,0.0,0.0532,,
650,6,0.0,0.0677,,
651,5,0.0,0.0733,,
652,4,0.0,0.0754,,
653,4,0.0,0.0668,,
654,4,0.0,0.0626,,
655,3,0.0,0.0521,,
656,2,0.0,0.051,,
657,2,0.09,0.0704,,
658,5,0.1,0.0732,,
659,6,0.15,0.0662,,
660,5,0.21,0.0444,,
661,5,0.23,0.0565,,
662,5,0.04,0.055,,
663,5,0.08,0.0651,,
664,4,0.12,0.0469,,
665,4,0.19,0.0555,,
666,4,0.28,0.0587,,
667,3,0.38,0.0702,,
668,3,0.48,0.0735,,
669,2,0.61,0.0649,,
670,6,0.82,0.065,,
671,7,0.91,0.067,,
672,9,0.52,0.0585,,
673,9,0.16,0.044,,
674,8,0.0,0.0562,,
675,8,0.0,0.0555,,
676,8,0.0,0.0535,,
677,8,0.0,0.0668,,
678,8,0.0,0.0714,,
679,6,0.0,0.0637,,
680,3,0.0,0.0764,,
681,3,0.0,0.0903,,
682,6,0.0,0.0761,,
683,6,0.04,0.0528,,
684,7,0.12,0.0547,,
685,9,0.17,0.0743,,
686,10,0.29,0.0652,,
687,10,0.39,0.0554,,
688,10,0.5,0.0648,,
689,10,0.46,0.0568,,
690,10,0.56,0.0509,,
691,8,0.65,0.0527,,
692,7,0.73,0.0683,,
693,7,0.88,0.0642,,
694,7,0.5,0.0807,,
695,8,0.61,0.0616,,
696,7,0.74,0.0573,,
697,7,0.22,0.0568,,
698,7,0.15,0.0561,,
699,6,0.2,0.0591,,
700,6,0.24,0.0541,,
701,6,0.29,0.0524,,
702,5,0.33,0.0726,,
703,4,0.39,0.0714,,
704,3,0.5,0.0639,,
705,3,0.64,0.0582,,
706,6,0.82,0.0562,,
707,7,1.05,0.0528,,
708,7,1.27,0.0413,,
709,7,0.72,0.0387,,
710,7,0.75,0.047,,
711,7,0.83,0.0355,,
712,7,0.25,0.0453,,
713,6,0.3,0.0324,,
714,4,0.0,0.0529,,
715,3,0.05,0.0568,,
716,2,0.11,0.0553,,
717,2,0.17,0.058,,
718,4,0.06,0.0667,,
719,5,0.11,0.0568,,
720,5,0.17,0.052,,
721,5,0.0,0.0442,,
722,5,0.0,0.055,,
723,5,0.0,0.0618,,
724,4,0.0,0.0411,,
725,4,0.0,0.0506,,
726,3,0.0,0.0779,,
727,3,0.0,0.0977,,
728,2,0.07,0.1002,,
729,2,0.19,0.0972,,
730,4,0.24,0.1192,,
731,8,0.24,0.1256,,
732,9,0.31,0.0916,,
733,9,0.34,0.11,,
734,14,0.19,0.0954,,
735,14,0.23,0.0709,,
736,13,0.29,0.0933,,
737,14,0.37,0.088,,
738,13,0.45,0.1054,,
739,12,0.54,0.085,,
740,11,0.63,0.075,,
741,11,0.22,0.0775,,
742,13,0.26,0.0832,,
743,12,0.35,0.0634,,
744,10,0.5,0.0653,,
745,10,0.24,0.0535,,
746,8,0.34,0.0523,,
747,8,0.31,0.0622,,
748,8,0.24,0.0703,,
749,8,0.21,0.0641,,
750,7,0.29,0.0554,,
751,5,0.43,0.0667,,
752,5,0.61,0.0745,,
753,3,0.68,0.0761,,
754,6,0.93,0.0672,,
755,7,1.15,0.0672,,
756,7,1.22,0.0505,,
757,7,0.8,0.0501,,
758,7,0.7,0.0858,,
759,5,0.83,0.0767,,
760,5,1.0,0.0597,,
761,5,1.25,0.0575,,
762,5,1.43,0.0556,,
763,4,1.3,0.0628,,
764,2,1.5,0.0735,,
765,2,1.8,0.0874,,
766,5,1.75,0.0798,,
767,6,2.12,0.0755,,41
768,6,2.35,0.0538,,
769,6,2.34,0.0785,,
770,6,2.5,0.0946,,
771,5,2.55,0.0711,,
772,5,2.72,0.0701,,
773,4,2.9,0.0686,,
774,3,3.07,0.0783,,
775,6,3.39,0.1006,,
776,7,1.79,0.0859,,
777,6,1.29,0.0813,,
778,9,0.71,0.0916,,
779,10,0.29,0.1065,,
780,10,0.15,0.0926,,
781,9,0.17,0.062,,
782,9,0.19,0.0657,,
783,9,0.22,0.0698,,
784,8,0.25,0.0828,,
785,8,0.31,0.1042,,
786,7,0.38,0.09,,
787,6,0.44,0.0996,,
788,4,0.17,0.1032,,
789,4,0.2,0.0725,,
790,7,0.28,0.0858,,
791,9,0.38,0.0867,,
792,10,0.43,0.0638,,
793,10,0.0,0.0704,64,
794,9,0.03,0.0696,,
795,9,0.0,0.0736,,
796,8,0.0,0.0712,,
797,8,0.0,0.0677,,
798,8,0.0,0.07,,
799,8,0.0,0.075,,
800,6,0.04,0.0722,,
801,4,0.11,0.0662,,
802,8,0.18,0.0918,,
803,8,0.27,0.0565,,
804,8,0.35,0.0513,,
805,8,0.2,0.0328,,
806,8,0.27,0.0455,,
807,6,0.38,0.0451,,
808,6,0.5,0.0438,,
809,6,0.63,0.0554,,
810,5,0.84,0.0518,,
811,5,0.9,0.0637,,
812,4,0.93,0.0597,,
813,3,0.71,0.0724,,
814,6,0.73,0.0697,,
815,7,0.73,0.0691,,
816,7,0.85,0.0574,,
817,7,0.83,0.0772,,
818,7,0.33,0.0871,,
819,7,0.0,0.0862,,
820,10,0.0,0.0848,,
821,9,0.0,0.0897,,
822,9,0.0,0.0722,,
823,8,0.0,0.0691,,
824,7,0.0,0.0888,,
825,7,0.07,0.0881,,
826,9,0.14,0.0859,,
827,10,0.21,0.069,,
828,10,0.3,0.0546,,
829,9,0.34,0.0606,,
830,6,0.41,0.0526,,
831,6,0.48,0.0581,,
832,6,0.55,0.0742,,
833,6,0.67,0.0422,,
834,6,0.77,0.0554,,
835,6,0.44,0.0558,,
836,5,0.52,0.0668,,
837,4,0.59,0.0635,,
838,7,0.71,0.0768,,
839,7,1.0,0.0494,,
840,7,1.21,0.0579,,
841,7,1.17,0.0476,,
842,7,1.15,0.0413,,
843,7,0.41,0.051,,
844,7,0.31,0.0463,,
845,5,0.11,0.0475,,
846,5,0.0,0.0748,,
847,4,0.0,0.0689,,
848,3,0.0,0.0842,,
849,5,0.04,0.0874,,
850,6,0.12,0.0902,,
851,9,0.22,0.0746,,
852,9,0.35,0.069,,
853,10,0.07,0.0843,,
854,11,0.0,0.0783,,
855,9,0.0,0.0757,,
856,9,0.0,0.0895,,
857,9,0.0,0.0913,,
858,9,0.0,0.0964,,
859,8,0.03,0.1061,,
860,8,0.1,0.1091,,
861,6,0.21,0.0948,,
862,8,0.32,0.0997,,
863,9,0.33,0.0653,,
864,7,0.41,0.0844,,
865,10,0.43,0.059,,
866,10,0.5,0.0598,,
867,10,0.59,0.0594,,
868,10,0.68,0.0805,,
869,9,0.75,0.0706,,
870,9,0.46,0.0742,,
871,9,0.48,0.0867,,
872,9,0.6,0.0658,,
873,8,0.12,0.0894,,
874,10,0.08,0.0728,,
875,10,0.12,0.0513,,
876,7,0.16,0.0557,,
877,7,0.17,0.0546,,
878,7,0.03,0.0916,,
879,7,0.0,0.0812,,
880,6,0.04,0.0943,,
881,6,0.07,0.0693,,
882,5,0.11,0.0962,,
883,2,0.15,0.0872,,
884,2,0.23,0.1092,,
885,1,0.25,0.0896,,
886,5,0.29,0.0776,,
887,5,0.35,0.0666,,
888,5,0.39,0.0742,,
889,5,0.38,0.0742,,
890,5,0.42,0.0583,,
891,5,0.48,0.0759,,
892,5,0.0,0.0616,,
893,5,0.0,0.0762,,
894,4,0.0,0.0571,,
895,1,0.0,0.0655,,
896,0,0.0,0.0642,,
897,0,0.05,0.0863,,
898,3,0.11,0.0787,,
899,4,0.16,0.0488,,
900,4,0.21,0.0541,,
901,4,0.25,0.0397,,
902,4,0.25,0.051,,
903,4,0.29,0.0486,,
904,4,0.36,0.0392,,
905,4,0.38,0.0502,,
906,3,0.0,0.0564,,
907,2,0.04,0.0663,,
908,1,0.09,0.082,,
909,1,0.0,0.0815,,
910,5,0.04,0.0897,,
911,6,0.09,0.0759,,
