step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
408,28.0,0.79,0.103,,,0,0.895809491981886
409,30.0,0.86,0.119,,,0,0.8953615872358951
410,29.0,1.0,0.127,,,0,0.8949139064422772
411,29.0,1.22,0.12,,,0,0.8944664494890561
412,27.0,1.51,0.103,,,0,0.8944664494890561
413,26.0,1.79,0.078,,,0,0.8944664494890561
414,27.0,2.19,0.084,,,0,0.8944664494890561
415,27.0,2.61,0.092,,,0,0.8944664494890561
416,28.0,3.06,0.099,,,0,0.8944664494890561
417,29.0,3.18,0.101,,,0,0.8944664494890561
418,29.0,3.58,0.097,,,0,0.8944664494890561
419,27.0,4.11,0.085,,,0,0.8944664494890561
420,28.0,4.67,0.081,,,0,0.8944664494890561
421,27.0,5.44,0.067,,,0,0.8944664494890561
422,27.0,6.12,0.073,,,0,0.8940192162643116
423,28.0,6.64,0.095,,,0,0.8935722066561794
424,29.0,7.38,0.069,,,0,0.8931254205528514
425,31.0,6.84,0.092,,,0,0.8926788578425751
426,30.0,7.56,0.08,,,0,0.8922325184136538
427,30.0,8.34,0.059,16,,0,0.891786402154447
428,30.0,9.48,0.053,,,0,0.8913405089533699
429,29.0,10.12,0.052,,,0,0.8908948386988933
430,29.0,10.76,0.056,,,0,0.8904493912795439
431,29.0,10.18,0.069,,,0,0.8900041665839042
432,31.0,10.18,0.071,,,0,0.8895591645006123
433,36.0,7.45,0.103,,,0,0.889114384918362
434,36.0,7.9,0.122,,,0,0.8886698277259029
435,36.0,8.35,0.118,,,0,0.88822549281204
436,41.0,8.82,0.117,,,0,0.887781380065634
437,40.0,9.31,0.122,,,0,0.8873374893756012
438,41.0,9.8,0.134,,,0,0.8873374893756012
439,43.0,9.49,0.148,,,0,0.8873374893756012
440,44.0,7.4,0.141,,,0,0.8873374893756012
441,45.0,6.37,0.162,,,0,0.8873374893756012
442,40.0,2.78,0.136,,,0,0.8868938206309135
443,40.0,1.02,0.09,,,0,0.8864503737205981
444,41.0,0.09,0.066,,,0,0.8860071485337379
445,35.0,0.17,0.076,,,0,0.885564144959471
446,35.0,0.21,0.098,,,0,0.8851213628869913
447,33.0,0.35,0.095,,,0,0.8846788022055478
448,31.0,0.51,0.124,,,0,0.8842364628044451
449,30.0,0.61,0.129,,,0,0.883794344573043
450,29.0,0.79,0.154,,,0,0.8833524474007565
451,28.0,0.98,0.13,,,0,0.8829107711770562
452,29.0,1.19,0.133,,,0,0.8824693157914677
453,27.0,1.35,0.115,,,0,0.882028081133572
454,26.0,1.64,0.112,,,0,0.8815870670930053
455,25.0,1.94,0.119,,,0,0.8811462735594588
456,24.0,2.36,0.109,,,0,0.8807057004226791
457,24.0,2.33,0.096,,,0,0.8802653475724679
458,25.0,2.75,0.103,,,0,0.8802653475724679
459,25.0,2.73,0.109,,,0,0.8802653475724679
460,26.0,2.74,0.105,,,0,0.8802653475724679
461,25.0,2.87,0.098,,,0,0.8802653475724679
462,26.0,1.7,0.104,,,0,0.8798252148986817
463,26.0,1.23,0.101,,,0,0.8793853022912325
464,26.0,1.4,0.096,,,0,0.8789456096400869
465,26.0,1.5,0.112,,,0,0.8785061368352669
466,25.0,1.27,0.102,,,0,0.8780668837668493
467,22.0,1.22,0.086,,,0,0.8776278503249659
468,23.0,1.5,0.077,,,0,0.8771890363998035
469,28.0,0.85,0.106,,,0,0.8767504418816037
470,27.0,1.04,0.118,,,0,0.876312066660663
471,26.0,1.22,0.122,,,0,0.8758739106273327
472,33.0,1.48,0.147,,,0,0.8754359736720191
473,33.0,1.57,0.157,,,0,0.8749982556851831
474,33.0,1.82,0.153,,,0,0.8745607565573406
475,33.0,2.1,0.124,,,0,0.8741234761790619
476,36.0,2.4,0.133,,,0,0.8736864144409725
477,35.0,2.8,0.142,,,0,0.873249571233752
478,35.0,3.16,0.137,,,0,0.8728129464481352
479,35.0,3.56,0.102,,,0,0.8723765399749112
480,34.0,4.05,0.106,,,0,0.8719403517049238
481,35.0,3.8,0.094,,,0,0.8719403517049238
482,33.0,3.69,0.073,,,0,0.8719403517049238
483,31.0,3.35,0.091,,,0,0.8719403517049238
484,33.0,3.74,0.073,,,0,0.8719403517049238
485,32.0,1.57,0.068,,,0,0.8715043815290714
486,32.0,1.7,0.063,,,0,0.8710686293383069
487,30.0,1.75,0.068,,,0,0.8706330950236377
488,30.0,2.02,0.077,,,0,0.870197778476126
489,32.0,2.07,0.081,,,0,0.869762679586888
490,30.0,2.42,0.092,,,0,0.8693277982470946
491,29.0,2.7,0.083,,,0,0.8688931343479711
492,30.0,1.04,0.083,,,0,0.8684586877807972
493,29.0,1.07,0.091,,,0,0.8680244584369068
494,22.0,1.29,0.095,,,0,0.8675904462076884
495,25.0,1.53,0.127,,,0,0.8671566509845846
496,25.0,1.78,0.132,,,0,0.8667230726590923
497,23.0,1.84,0.135,,,0,0.8662897111227629
498,23.0,2.08,0.155,,,0,0.8658565662672015
499,22.0,2.37,0.14,,,0,0.865423637984068
500,24.0,2.67,0.164,,,0,0.864990926165076
501,25.0,2.86,0.133,,,0,0.8645584307019936
502,24.0,3.38,0.138,,,0,0.8645584307019936
503,23.0,3.73,0.116,,,0,0.8645584307019936
504,22.0,4.4,0.128,,,0,0.8645584307019936
505,27.0,3.02,0.142,,,0,0.8645584307019936
506,25.0,0.63,0.122,,,0,0.8645584307019936
507,25.0,0.0,0.114,,,0,0.8645584307019936
508,29.0,0.0,0.093,,,0,0.8645584307019936
509,26.0,0.04,0.093,,,0,0.8645584307019936
510,26.0,0.13,0.106,,,0,0.8645584307019936
511,27.0,0.24,0.117,,,0,0.8645584307019936
512,31.0,0.35,0.136,,,0,0.8645584307019936
513,31.0,0.44,0.151,,,0,0.8645584307019936
514,33.0,0.63,0.135,,,0,0.8645584307019936
515,32.0,0.89,0.1,,,0,0.8645584307019936
516,34.0,1.11,0.1,,,0,0.8645584307019936
517,33.0,1.4,0.084,,,0,0.8645584307019936
518,31.0,1.51,0.08,,,0,0.8645584307019936
519,31.0,1.79,0.09,,,0,0.8645584307019936
520,31.0,2.15,0.095,,,0,0.8645584307019936
521,32.0,2.18,0.109,,,0,0.8641261514866426
522,31.0,2.63,0.109,,,0,0.8636940884108993
523,30.0,3.2,0.097,,,0,0.8632622413666939
524,31.0,3.73,0.101,,,0,0.8628306102460106
525,30.0,4.25,0.1,,,0,0.8623991949408877
526,30.0,4.9,0.106,,,0,0.8619679953434173
527,31.0,5.58,0.107,,,0,0.8615370113457457
528,32.0,6.13,0.107,,,0,0.8611062428400729
529,33.0,6.05,0.109,,,0,0.8606756897186528
530,33.0,6.71,0.111,,29,0,0.8602453518737936
