step,queue,avg_wait_time,co2_kg,ambulance_time,firetruck_time
663,28,11.79,0.0639,,
664,29,10.54,0.0728,,
665,29,10.14,0.0683,,
666,28,9.84,0.0694,,
667,28,10.24,0.0637,,
668,28,11.06,0.074,,
669,27,11.61,0.0663,,
670,26,12.17,0.0771,,
671,27,12.75,0.0836,,
672,28,12.31,0.087,,
673,28,12.85,0.095,,
674,28,13.41,0.0941,,
675,28,7.38,0.0799,,
676,29,3.87,0.0967,,
677,25,1.82,0.0934,,
678,26,1.11,0.1007,,
679,26,0.84,0.0908,,
680,26,0.74,0.0945,,
681,26,0.95,0.1055,,
682,25,1.15,0.0959,,
683,23,1.33,0.1081,,
684,27,1.28,0.1126,,
685,26,1.43,0.1268,,
686,24,1.61,0.1416,,
687,25,1.67,0.151,,
688,27,1.67,0.1233,,
689,26,1.86,0.1172,,
690,23,2.08,0.1264,,
691,25,2.37,0.1184,,
692,25,2.61,0.1081,,
693,23,2.98,0.0966,,
694,23,3.33,0.0747,,
695,24,3.9,0.0782,,
696,25,3.74,0.0967,,
697,24,4.1,0.0787,,
698,24,4.69,0.0711,,
699,24,4.85,0.0753,,
700,23,5.18,0.0708,,
701,22,5.56,0.0808,,
702,22,6.3,0.0923,,
703,23,6.94,0.1007,,
704,24,6.85,0.0926,,
705,24,7.7,0.0906,,
706,24,8.22,0.1032,,
707,24,9.5,0.0921,,27
708,24,8.52,0.0817,,
709,23,8.64,0.0943,,
710,23,9.09,0.083,,
711,24,10.23,0.0745,,
712,24,9.54,0.0823,,
713,24,10.35,0.0722,,
714,24,10.88,0.0581,,
715,25,11.79,0.0657,,
716,25,12.75,0.0681,,
717,25,13.34,0.0746,,
718,25,14.0,0.0736,,
719,26,14.69,0.0757,,
720,32,5.45,0.0641,,
721,32,3.15,0.0814,,
722,28,1.44,0.0798,,
723,29,0.8,0.0869,,
724,31,1.0,0.0787,,
725,27,1.18,0.0975,,
726,27,1.35,0.1092,,
727,27,1.52,0.1272,,
728,27,1.55,0.1518,,
729,26,1.7,0.1313,,
730,25,1.82,0.1369,,
731,24,2.02,0.1237,,
732,24,2.33,0.0976,,
733,21,2.6,0.1042,,
734,21,2.95,0.0892,,
